Django Unchained,2012-12-25,100000000,"Jamie Foxx, Django Freeman, Christoph Waltz, Dr. King Schultz, Leonardo DiCaprio, Calvin J. Candie, Kerry Washington, Broomhilda von Shaft, Samuel L. Jackson, Stephen, Walton Goggins, Billy Crash, Dennis Christopher, Leonide Moguy, James Remar, Butch Pooch / Ace Speck, David Steen, Mr. Stonesipher","Drama, Western",8.171
The Shawshank Redemption,1994-09-23,25000000,"Tim Robbins, Andy Dufresne, Morgan Freeman, Ellis Boyd 'Red' Redding, Bob Gunton, Warden Norton, William Sadler, Heywood, Clancy Brown, Captain Byron T. Hadley, Gil Bellows, Tommy, Mark Rolston, Bogs Diamond, James Whitmore, Brooks Hatlen, Jeffrey DeMunn, 1946 D.A.","Drama, Crime",8.702
Avengers: Endgame,2019-04-24,356000000,"Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Don Cheadle, James Rhodes / War Machine, Paul Rudd, Scott Lang / Ant-Man, Benedict Cumberbatch, Stephen Strange / Doctor Strange","Adventure, Science Fiction, Action",8.263
The Matrix,1999-03-30,63000000,"Keanu Reeves, Thomas A. Anderson / Neo, Laurence Fishburne, Morpheus, Carrie-Anne Moss, Trinity, Hugo Weaving, Agent Smith, Joe Pantoliano, Cypher, Marcus Chong, Tank, Anthony Ray Parker, Dozer, Matt Doran, Mouse, Gloria Foster, Oracle","Action, Science Fiction",8.206
Titanic,1997-11-18,200000000,"Leonardo DiCaprio, Jack Dawson, Kate Winslet, Rose DeWitt Bukater, Billy Zane, Cal Hockley, Kathy Bates, Molly Brown, Frances Fisher, Ruth DeWitt Bukater, Gloria Stuart, Old Rose, Victor Garber, Thomas Andrews, Bill Paxton, Brock Lovett, Bernard Hill, Edward Smith","Drama, Romance",7.9
Joker,2019-10-01,55000000,"Joaquin Phoenix, Arthur Fleck / Joker, Robert De Niro, Murray Franklin, Zazie Beetz, Sophie Dumond, Frances Conroy, Penny Fleck, Brett Cullen, Thomas Wayne, Shea Whigham, Detective Burke, Bill Camp, Detective Garrity, Glenn Fleshler, Randall, Leigh Gill, Gary","Crime, Thriller, Drama",8.168
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,93000000,"Elijah Wood, Frodo, Ian McKellen, Gandalf, Liv Tyler, Arwen, Viggo Mortensen, Aragorn, Sean Astin, Sam, Sean Bean, Boromir, Cate Blanchett, Galadriel, John Rhys-Davies, Gimli, Billy Boyd, Pippin","Adventure, Fantasy, Action",8.402
The Lord of the Rings: The Return of the King,2003-12-01,94000000,"Elijah Wood, Frodo, Ian McKellen, Gandalf, Liv Tyler, Arwen, Viggo Mortensen, Aragorn, Sean Astin, Sam, Andy Serkis, Gollum / Sméagol, Cate Blanchett, Galadriel, John Rhys-Davies, Gimli / Treebeard (voice), Bernard Hill, Théoden","Adventure, Fantasy, Action",8.474
Shutter Island,2010-02-14,80000000,"Leonardo DiCaprio, Teddy Daniels, Mark Ruffalo, Chuck Aule, Ben Kingsley, Dr. John Cawley, Michelle Williams, Dolores Chanal, Max von Sydow, Dr. Jeremiah Naehring, Emily Mortimer, Rachel Solando, Jackie Earle Haley, George Noyce, John Carroll Lynch, Deputy Warden McPherson, Ted Levine, Warden","Drama, Thriller, Mystery",8.2
The Wolf of Wall Street,2013-12-25,100000000,"Leonardo DiCaprio, Jordan Belfort, Jonah Hill, Donnie Azoff, Margot Robbie, Naomi Lapaglia, Matthew McConaughey, Mark Hanna, Kyle Chandler, FBI Agent Patrick Denham, Rob Reiner, Max Belfort, Jon Favreau, Manny Riskin, Jean Dujardin, Jean-Jacques Handali, Jon Bernthal, Brad Bodnick","Crime, Drama, Comedy",8.035
